日期,成交量,成交额,均价,折溢价
2025-09-08,"322,120","21,317,901.60",66.18,2.22%
2025-09-05,"295,077","19,622,620.50",66.50,0.48%
2025-09-04,"2,001,510","131,927,902.40",65.91,-3.00%
2025-09-03,"2,481,256","158,183,849.68",63.75,-7.29%
2025-09-02,"1,159,450","65,588,200.00",56.57,-17.72%
2025-09-01,"317,000","22,223,640.00",70.11,1.01%
2025-08-29,"1,180,939","80,619,866.40",68.27,-1.49%
2025-08-28,"897,184","60,861,238.76",67.84,-2.32%
2025-08-27,"1,716,752","112,887,790.88",65.76,-5.68%
2025-08-26,"200,000","13,950,000.00",69.75,0.09%
2025-08-21,"103,632","7,002,414.24",67.57,-3.97%
2025-08-20,"869,791","61,198,204.72",70.36,-0.30%
2025-08-18,"300,000","21,480,000.00",71.60,1.04%
2025-08-15,"720,000","52,089,200.00",72.35,1.09%
2025-08-14,"200,000","14,280,000.00",71.40,-0.45%
2025-08-13,"100,000","7,400,000.00",74.00,3.63%
2025-08-12,"190,289","14,176,530.50",74.50,4.17%
2025-08-11,"745,654","41,195,915.00",55.25,-23.26%
2025-08-08,"100,000","7,300,000.00",73.00,1.26%
2025-08-07,"100,000","5,500,000.00",55.00,-23.74%
