treeType,plantingAreaAcre,plantingMonths,soilFertility,climateType,emissionReductionTCO2e
杨树,200,36,肥沃土壤,温带季风气候,560.0
杨树,150,24,中等肥力土壤,温带大陆性气候,280.0
杨树,300,48,贫瘠土壤,干旱与半干旱气候,320.0
桉树,180,30,肥沃土壤,热带季风气候,680.0
桉树,220,36,中等肥力土壤,亚热带季风气候,520.0
桉树,120,20,贫瘠土壤,滨海与盐碱化气候,180.0
杉木,250,42,肥沃土壤,亚热带季风气候,720.0
杉木,160,30,中等肥力土壤,温带季风气候,360.0
杉木,280,48,贫瘠土壤,寒温带与亚寒带气候,240.0
松树,190,33,肥沃土壤,温带大陆性气候,510.0
松树,210,39,中等肥力土壤,寒温带与亚寒带气候,380.0
松树,130,27,贫瘠土壤,干旱与半干旱气候,160.0
栎树,230,45,肥沃土壤,温带季风气候,640.0
栎树,170,36,中等肥力土壤,亚热带季风气候,420.0
栎树,240,48,贫瘠土壤,滨海与盐碱化气候,200.0
樟树,200,36,肥沃土壤,亚热带季风气候,660.0
樟树,140,30,中等肥力土壤,热带季风气候,340.0
樟树,260,42,贫瘠土壤,干旱与半干旱气候,220.0
榆树,180,33,肥沃土壤,温带大陆性气候,530.0
榆树,220,39,中等肥力土壤,温带季风气候,400.0
榆树,150,27,贫瘠土壤,寒温带与亚寒带气候,170.0
槐树,210,36,肥沃土壤,亚热带季风气候,610.0
槐树,170,30,中等肥力土壤,温带大陆性气候,320.0
槐树,230,42,贫瘠土壤,滨海与盐碱化气候,190.0
桦树,200,39,肥沃土壤,寒温带与亚寒带气候,480.0
桦树,160,33,中等肥力土壤,温带大陆性气候,300.0
桦树,240,45,贫瘠土壤,干旱与半干旱气候,200.0
杨树,260,42,肥沃土壤,亚热带季风气候,700.0
桉树,140,24,中等肥力土壤,热带季风气候,260.0
杉木,290,48,肥沃土壤,温带季风气候,760.0
松树,180,36,中等肥力土壤,寒温带与亚寒带气候,340.0
栎树,220,39,肥沃土壤,亚热带季风气候,620.0
樟树,150,30,中等肥力土壤,热带季风气候,380.0
榆树,230,42,肥沃土壤,温带大陆性气候,550.0
槐树,170,33,中等肥力土壤,温带季风气候,320.0
桦树,210,36,肥沃土壤,寒温带与亚寒带气候,460.0
杨树,190,30,中等肥力土壤,温带大陆性气候,300.0
桉树,250,39,肥沃土壤,热带季风气候,720.0
杉木,160,33,中等肥力土壤,亚热带季风气候,340.0
松树,220,42,肥沃土壤,温带季风气候,600.0
栎树,180,36,中等肥力土壤,寒温带与亚寒带气候,320.0
杨树,100,24,肥沃土壤,温带季风气候,80.0
杨树,200,36,中等肥力土壤,亚热带季风气候,150.0
杨树,150,18,贫瘠土壤,干旱与半干旱气候,30.0
桉树,80,30,肥沃土壤,热带季风气候,120.0
桉树,120,48,中等肥力土壤,亚热带季风气候,180.0
桉树,90,20,贫瘠土壤,滨海与盐碱化气候,40.0
杉木,130,32,肥沃土壤,亚热带季风气候,110.0
杉木,160,42,中等肥力土壤,温带季风气候,130.0
杉木,110,26,贫瘠土壤,寒温带与亚寒带气候,25.0
松树,140,38,肥沃土壤,温带大陆性气候,100.0
松树,170,54,中等肥力土壤,寒温带与亚寒带气候,140.0
松树,100,22,贫瘠土壤,干旱与半干旱气候,20.0
栎树,90,34,肥沃土壤,温带季风气候,90.0
