日期,开盘价,收盘价,最低价,最高价,成交量
2021-07-16,48.00,51.23,48.00,52.80,4103953
2021-07-19,52.80,52.30,52.08,53.00,130800
2021-07-20,52.92,53.28,52.90,54.00,162000
2021-07-21,54.20,54.40,54.07,55.50,112000
2021-07-22,55.30,55.52,54.30,58.50,112200
2021-07-23,56.52,56.97,55.52,61.07,112000
2021-07-26,54.50,54.46,53.98,54.85,48000
2021-07-27,52.20,54.63,51.34,55.76,74211
2021-07-28,52.03,52.50,52.03,56.80,72747
2021-07-29,52.90,52.96,50.98,54.88,84026
2021-07-30,52.96,54.17,51.50,58.10,40000
2021-08-02,50.35,51.99,50.35,55.30,42022
2021-08-03,48.00,53.44,48.00,57.00,45005
2021-08-04,58.70,58.70,58.70,58.70,20000
2021-08-05,52.85,54.90,52.85,59.00,60000
2021-08-06,52.96,52.96,52.96,52.96,20000
2021-08-09,53.30,53.32,53.30,58.26,3010
2021-08-10,55.32,55.32,55.32,55.32,20000
2021-08-11,55.90,55.90,55.90,55.90,20000
2021-08-12,52.00,55.43,52.00,55.70,6001
2021-08-13,55.43,54.00,54.00,55.43,51001
2021-08-16,51.00,51.00,51.00,51.00,10
2021-08-17,52.00,51.76,51.20,52.50,7001
2021-08-18,51.80,51.87,51.80,52.00,3000
2021-08-19,52.00,50.49,50.00,52.00,4001
2021-08-20,49.00,49.00,49.00,49.00,8000
2021-08-23,49.00,50.20,49.00,50.20,3002
2021-08-24,50.19,50.20,50.17,50.20,2002
2021-08-25,49.00,47.64,47.00,49.00,35210
2021-08-26,45.00,47.64,45.00,47.65,4212
2021-08-27,44.00,45.09,44.00,45.10,101
2021-08-30,45.09,45.16,45.09,45.22,35
2021-08-31,45.16,45.35,45.16,45.50,23
2021-09-01,45.35,45.19,44.21,46.00,30
2021-09-02,44.66,44.66,44.66,44.66,50
2021-09-03,44.66,44.67,44.66,45.00,520
2021-09-06,44.00,44.00,44.00,44.00,10
2021-09-07,43.80,43.90,43.80,44.00,2000
2021-09-08,42.90,42.90,42.90,42.90,40
2021-09-09,42.00,41.99,41.80,42.00,1222
2021-09-10,44.00,44.00,44.00,44.00,3040
2021-09-13,46.00,45.62,44.10,46.00,50
2021-09-14,42.00,45.54,41.60,50.18,3950
2021-09-15,45.00,45.00,45.00,45.00,50
2021-09-16,47.00,44.94,44.00,47.00,6140
2021-09-17,42.00,43.43,42.00,44.80,21900
2021-09-22,43.00,43.24,42.50,43.35,4231
2021-09-23,43.24,43.85,43.24,44.00,2500
2021-09-24,46.00,44.36,42.20,46.00,4841
2021-09-27,44.35,43.59,42.01,44.35,15841
2021-09-28,43.49,42.22,42.05,43.50,56000
2021-09-29,41.00,41.84,41.00,43.50,31768
2021-09-30,41.84,42.21,41.84,45.80,71024
2021-10-08,44.45,44.08,42.21,44.45,3000
2021-10-11,44.06,46.03,43.10,48.49,5024
2021-10-12,45.20,44.67,44.50,45.20,18462
2021-10-13,44.80,44.68,43.98,44.80,77386
2021-10-14,44.00,43.96,43.80,44.00,3482
2021-10-15,43.96,43.90,43.80,44.00,8200
2021-10-18,45.70,43.44,43.10,45.70,4688
2021-10-19,43.43,43.43,43.43,43.44,2028
2021-10-20,43.50,43.24,41.50,43.50,2860
2021-10-21,45.00,43.03,42.80,45.00,80200
2021-10-22,44.50,42.99,42.50,44.50,30760
2021-10-25,46.00,43.24,42.16,46.00,12501
2021-10-26,43.00,42.65,42.40,43.00,87882
2021-10-27,38.50,42.61,38.50,42.75,10635
2021-10-28,42.61,42.77,42.61,42.80,3500
2021-10-29,42.50,42.41,42.20,42.60,56823
2021-11-01,42.41,42.45,42.30,42.54,81792
2021-11-02,42.45,42.43,42.40,42.45,78500
2021-11-03,42.43,42.40,42.39,42.43,7735
2021-11-04,42.40,42.33,42.00,42.40,13400
2021-11-05,43.00,42.69,42.20,43.00,33010
2021-11-08,42.69,42.58,42.50,42.80,28499
2021-11-09,42.58,42.73,42.50,43.00,28534
2021-11-10,42.73,42.74,42.70,42.80,30719
2021-11-11,42.50,42.49,42.40,42.74,23884
2021-11-12,42.60,42.66,42.50,42.82,19859
2021-11-15,42.66,42.93,42.66,43.20,26470
2021-11-16,42.93,43.16,42.93,43.40,139500
2021-11-17,46.00,43.12,42.95,46.00,86406
2021-11-18,43.12,43.16,42.95,43.50,48608
2021-11-19,43.50,43.05,43.00,43.50,72949
2021-11-22,43.10,43.05,42.85,43.10,197816
2021-11-23,43.50,43.06,42.98,43.50,178974
2021-11-24,43.00,42.96,42.88,43.00,307593
2021-11-25,42.96,42.96,42.90,43.00,267994
2021-11-26,42.80,42.85,42.79,42.90,549229
2021-11-29,43.20,42.92,42.87,43.20,394710
2021-11-30,42.98,42.95,42.90,43.00,344048
2021-12-01,42.95,42.97,42.95,42.99,701627
2021-12-02,42.97,42.88,40.00,43.00,750085
2021-12-03,43.00,42.94,42.85,43.00,782345
2021-12-06,42.89,42.79,42.50,42.92,430284
2021-12-07,42.50,42.13,40.40,42.60,367717
2021-12-08,42.42,41.46,40.91,42.42,458710
2021-12-09,42.89,41.56,41.20,42.89,936350
2021-12-10,42.00,42.69,42.00,43.19,1605304
2021-12-13,43.50,42.95,42.60,43.50,1587253
2021-12-14,42.68,42.93,42.68,43.32,2461201
2021-12-15,42.72,43.06,42.72,44.00,1052579
2021-12-16,43.65,44.22,43.15,45.20,901715
2021-12-17,44.50,46.66,44.50,46.99,645303
2021-12-20,47.50,49.18,45.01,51.33,1160785
2021-12-21,48.60,49.49,48.60,51.00,829197
2021-12-22,49.49,49.39,49.25,49.49,736063
2021-12-23,49.46,49.57,49.45,49.79,1328920
2021-12-24,49.80,49.52,49.29,49.80,534403
2021-12-27,49.64,48.13,47.00,49.70,566528
2021-12-28,52.80,51.69,48.60,52.94,1084789
2021-12-29,54.50,56.64,54.50,56.86,1048544
2021-12-30,62.00,57.06,53.00,62.29,1382607
2021-12-31,55.00,54.22,53.50,56.00,423847
2022-01-04,59.64,57.29,54.23,59.64,2001
2022-01-05,56.00,56.94,56.00,57.50,101182
2022-01-06,55.50,57.26,55.50,57.80,86408
2022-01-07,57.50,57.59,56.10,58.00,366101
2022-01-10,58.50,58.28,58.00,58.50,45412
2022-01-11,58.30,57.52,57.00,58.30,26612
2022-01-12,57.99,57.99,57.99,57.99,100
2022-01-13,57.00,57.75,57.00,58.00,135325
2022-01-14,57.74,57.77,57.60,57.90,173370
2022-01-17,58.49,58.48,52.30,58.49,731
2022-01-18,58.50,58.50,58.50,58.50,100
2022-01-19,56.00,56.00,56.00,56.00,52695
2022-01-20,58.00,58.00,58.00,58.00,197
2022-01-21,52.20,57.46,52.20,57.50,125
2022-01-24,51.71,57.87,51.71,57.99,109
2022-01-25,57.87,57.83,52.09,57.87,151
2022-01-26,58.00,57.88,52.06,58.00,51
2022-01-27,56.00,56.00,56.00,56.00,60
2022-01-28,58.88,61.38,58.88,61.60,1088
2022-02-07,58.08,58.08,58.08,58.08,30
2022-02-08,58.50,58.50,58.50,58.50,72148
2022-02-09,58.50,58.50,58.50,58.50,50
2022-02-10,60.00,60.00,60.00,60.00,80
2022-02-11,55.00,56.15,55.00,60.00,130
2022-02-14,50.54,58.41,50.54,58.80,21
2022-02-15,58.40,58.40,58.40,58.40,20
2022-02-16,56.60,56.60,56.60,56.60,2000
2022-02-17,56.50,56.50,56.50,56.50,50
2022-02-18,56.88,56.88,56.88,56.88,60
2022-02-21,56.99,56.99,56.99,56.99,143
2022-02-22,57.00,56.78,51.30,58.00,78402
2022-02-23,57.50,56.49,56.00,57.50,5030
2022-02-24,58.00,58.00,58.00,58.00,50
2022-02-25,58.00,58.53,58.00,59.00,33965
2022-02-28,52.68,57.74,52.68,59.00,250
2022-03-01,57.80,57.80,57.80,57.80,50
2022-03-02,57.80,57.90,57.80,58.90,110
2022-03-03,57.90,57.90,57.90,57.90,20
2022-03-04,57.90,57.90,57.90,57.90,150
2022-03-07,58.00,57.04,57.00,58.00,520
2022-03-08,57.00,57.00,57.00,57.00,500
2022-03-09,58.00,58.00,58.00,58.00,80
2022-03-10,57.00,57.26,57.00,57.90,700
2022-03-11,57.60,57.60,57.60,57.60,60
2022-03-14,58.00,58.00,58.00,58.00,20
2022-03-15,58.00,57.77,57.50,58.00,748
2022-03-16,57.00,57.00,57.00,57.00,520
2022-03-17,57.00,57.00,57.00,57.00,13010
2022-03-18,58.00,58.00,58.00,58.00,15
2022-03-21,58.50,58.50,58.50,58.50,20
2022-03-22,58.00,58.00,58.00,58.00,50
2022-03-23,58.40,58.40,58.40,58.40,60
2022-03-24,59.00,58.01,58.00,59.00,81685
2022-03-25,58.00,58.00,58.00,58.00,15
2022-03-28,58.00,58.00,58.00,58.00,15
